Time_sec,Car_ID,sigAcc,sigFollowing,sigFrameId,sigGlobalX,sigGlobalY,sigLocalX,sigLocalY,sigPreceding,sigSpaceHeadway,sigTimeHeadway,sigTotalFrames,sigVel,v_Length,v_Width,v_Class,Lane_ID
15.0,12.0,0.0,10.0,14.0,164.4582098197,-17.34937376084,0.0,52.656392944069,11.0,170.07999642989,-1.0,100.0,0.0,5.0,1.8,1.0,1.0
15.0,14.0,0.0,4.0,14.0,199.81683637967,-18.35392288921,0.0,15.877766947122,13.0,58.768484970241,-1.0,100.0,0.0,5.0,1.8,1.0,4.0
15.0,16.0,0.0,-1.0,14.0,312.70480958366,148.11088225405,0.0,29.408468415099,-1.0,-1.0,-1.0,100.0,0.0,5.0,1.8,1.0,25.0
15.0,17.0,0.0,-1.0,11.0,302.19819752875,144.92089260349,0.0,357.2537052321,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,2.0
15.0,21.0,-0.5,-1.0,7.0,157.3011881565,31.750005775013,0.0,49.636384989103,-1.0,-1.0,-1.0,100.0,6.1880851006073,5.0,1.8,1.0,28.0
16.0,1.0,-0.5,-1.0,10.0,151.46757364018,31.234720825854,0.0,8.1845624474064,-1.0,-1.0,-1.0,100.0,4.4108828362077,5.0,1.8,1.0,19.0
16.0,4.0,0.0,-1.0,14.0,159.30941464285,-25.455798497398,0.0,26.867872139509,14.0,140.72989480761,-1.0,100.0,0.0,5.0,1.8,1.0,27.0
16.0,5.0,0.0,-1.0,9.0,126.23787680284,14.139110168164,0.0,119.29437621376,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,19.0
16.0,12.0,0.0,10.0,15.0,164.4582098197,-17.34937376084,0.0,52.656392944069,-1.0,-1.0,-1.0,100.0,0.0,5.0,1.8,1.0,1.0
16.0,14.0,0.0,4.0,15.0,199.81683637967,-18.35392288921,0.0,15.877766947122,13.0,70.426385495048,-1.0,100.0,0.0,5.0,1.8,1.0,4.0
16.0,16.0,0.0,-1.0,15.0,312.70480958366,148.11088225405,0.0,29.408468415099,17.0,355.345236817,-1.0,100.0,0.0,5.0,1.8,1.0,25.0
16.0,17.0,0.0,-1.0,12.0,301.10620439448,148.12194258958,0.0,392.2537052321,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,25.0
16.0,21.0,0.0092126378596804,-1.0,8.0,156.49650301938,31.365409972631,0.0,55.83368272757,-1.0,-1.0,-1.0,100.0,6.197297738467,5.0,1.8,1.0,28.0
16.0,23.0,-0.1,-1.0,1.0,160.84369752751,40.595807942775,0.0,10.0,9.0,123.17582153583,25.137922762415,100.0,4.9,5.0,1.8,1.0,1.0
17.0,1.0,-0.5,-1.0,11.0,151.02764697965,30.70290965958,0.0,12.095445283614,-1.0,-1.0,-1.0,100.0,3.9108828362077,5.0,1.8,1.0,19.0
17.0,4.0,0.0,-1.0,15.0,159.30941464285,-25.455798497398,0.0,26.867872139509,14.0,140.72989480761,-1.0,100.0,0.0,5.0,1.8,1.0,27.0
17.0,5.0,0.0,-1.0,10.0,125.4375434695,14.138876834831,0.0,154.29437621376,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,19.0
17.0,12.0,0.0,10.0,16.0,164.4582098197,-17.34937376084,0.0,52.656392944069,-1.0,-1.0,-1.0,100.0,0.0,5.0,1.8,1.0,1.0
17.0,14.0,0.0,4.0,16.0,199.81683637967,-18.35392288921,0.0,15.877766947122,13.0,77.584286019855,-1.0,100.0,0.0,5.0,1.8,1.0,4.0
17.0,16.0,0.0,-1.0,16.0,312.70480958366,148.11088225405,0.0,29.408468415099,17.0,390.345236817,-1.0,100.0,0.0,5.0,1.8,1.0,25.0
